category;description;description_stem
A48;febre purpurica brasil;febr purpur brasil
A48;outras doencas bacterianas especificadas;outr doenc bacterian especific
A49;infeccao estafilococica localizacao especificada;infecca estafilococ localiz especific
A49;infeccao estreptococica localizacao especificada;infecca estreptococ localiz especific
A49;infeccao haemophilus influenzae localizacao especificada;infecca haemophilus influenza localiz especific
A49;infeccao mycoplasma localizacao especificada;infecca mycoplasm localiz especific
A49;outras infeccoes bacterianas localizacao especificada;outr infecco bacterian localiz especific
A49;infeccao bacteriana especificada;infecca bacterian especific
A50;sifilis congenita precoce sintomatica;sifil congenit precoc sintomat
A50;sifilis congenita precoce , forma latente;sifil congenit precoc , form latent
A50;sifilis congenita precoce especificada;sifil congenit precoc especific
A50;oculopatia sifilitica congenita tardia;oculopat sifilit congenit tard
A50;neurossifilis congenita tardia [ neurossifilis juvenil ];neurossifil congenit tard [ neurossifil juvenil ]
A50;outras formas tardias sintomaticas sifilis congenita;outr form tard sintomat sifil congenit
A50;sifilis congenita tardia latente;sifil congenit tard latent
A50;sifilis congenita tardia especificada;sifil congenit tard especific
A50;sifilis congenita especificada;sifil congenit especific
A51;sifilis genital primaria;sifil genital primar
A51;sifilis anal primaria;sifil anal primar
A51;sifilis primaria outras localizacoes;sifil primar outr localiz
A51;sifilis secundaria pele mucosas;sifil secundar pel mucos
A51;outras formas sifilis secundaria;outr form sifil secundar
A51;sifilis precoce latente;sifil precoc latent
A51;sifilis precoce especificada;sifil precoc especific
A52;sifilis cardiovascular;sifil cardiovascul
A52;neurossifilis sintomatica;neurossifil sintomat
A52;neurossifilis assintomatica;neurossifil assintomat
A52;neurossifilis especificada;neurossifil especific
A52;outras formas sifilis tardia sintomatica;outr form sifil tard sintomat
A52;sifilis tardia latente;sifil tard latent
A52;sifilis tardia especificada;sifil tard especific
A53;sifilis latente , especificada recente tardia;sifil latent , especific recent tard
A53;sifilis especificada;sifil especific
A54;infeccao gonococica trato geniturinario inferior , abscesso periuretral glandulas acessorias;infecca gonococ trat geniturinari inferior , abscess periuretral glandul acessor
A54;infeccao gonococica trato geniturinario inferior , abscesso periuretral glandulas acessorias;infecca gonococ trat geniturinari inferior , abscess periuretral glandul acessor
A54;pelviperitonite gonococica outras infeccoes geniturinarias gonococicas;pelviperitonit gonococ outr infecco geniturinar gonococ
A54;infeccao gonococica olho;infecca gonococ olho
A54;infeccao gonococica sistema musculo - esqueletico;infecca gonococ sistem muscul - esquelet
A54;faringite gonococica;faringit gonococ
A54;infeccao gonococica anus reto;infecca gonococ anus ret
A54;outras infeccoes gonococicas;outr infecco gonococ
A54;infeccao gonococica especificada;infecca gonococ especific
A55;linfogranuloma ( venereo ) clamidia;linfogranulom ( vener ) clamid
A56;infeccoes clamidias trato geniturinario inferior;infecco clamid trat geniturinari inferior
A56;infeccao clamidias , pelviperitonial outros orgaos geniturinarios;infecca clamid , pelviperitonial outr orga geniturinari
A56;infeccao clamidias trato geniturinario , localizacao especificada;infecca clamid trat geniturinari , localiz especific
A56;infeccao anus reto clamidias;infecca anus ret clamid
A56;infeccao faringe clamidias;infecca faring clamid
A56;infeccao clamidias transmitida via sexual , outras localizacoes;infecca clamid transmit via sexual , outr localiz
A57;cancro mole;cancr mol
A58;granuloma inguinal;granulom inguinal
A59;tricomoniase urogenital;tricomonias urogenital
A59;outras localizacoes tricomoniase;outr localiz tricomonias
A59;tricomoniase especificada;tricomonias especific
A60;infeccao orgaos genitais trato geniturinario virus herpes;infecca orga genit trat geniturinari virus herp
A60;infeccao margem cutanea anus reto virus herpes;infecca marg cutan anus ret virus herp
A60;infeccao anogenital especificada virus herpes;infecca anogenital especific virus herp
A63;verrugas anogenitais ( venereas );verrug anogenit ( vener )
A63;outras doencas especificadas transmissao predominantemente sexual;outr doenc especific transmissa predomin sexual
A64;doencas sexualmente transmitidas , especificadas;doenc sexual transmit , especific
A65;sifilis - venerea;sifil - vener
A66;lesoes iniciais bouba;leso inic boub
A66;papilomas multiplos bouba plantar umida ( cravo bouba );papilom multipl boub plant umid ( crav boub )
A66;outras lesoes cutaneas precoces bouba;outr leso cutan precoc boub
A66;hiperceratose devida bouba;hiperceratos dev boub
A66;gomas ulceras devidas bouba;gom ulcer dev boub
A66;gangosa;gangos
A66;lesoes osteoarticulares devidas bouba;leso osteoarticul dev boub
A66;outras manifestacoes bouba;outr manifest boub
A66;bouba latente;boub latent
A66;bouba especificada;boub especific
A67;lesoes primarias pinta;leso primar pint
A67;lesoes intermediarias pinta;leso intermediar pint
A67;lesoes tardias pinta;leso tard pint
A67;lesoes mistas pinta;leso mist pint
A67;pinta especificada;pint especific
A68;febre recorrente transmitida piolhos;febr recorrent transmit piolh
A68;febre recorrente transmitida carrapatos;febr recorrent transmit carrapat
A68;febre recorrente especificada;febr recorrent especific
A69;estomatite ulcerativa necrotizante;estomatit ulcer necrotiz
A69;outras infeccoes vincent;outr infecco vincent
A69;doenca lyme;doenc lyme
A69;outras infeccoes especificadas espiroquetas;outr infecco especific espiroquet
A69;infeccao espiroqueta , especificada;infecca espiroquet , especific
A70;infeccoes causadas clamidia psittaci;infecco caus clamid psittac
A71;fase inicial tracoma;fas inicial tracom
A71;fase ativa tracoma;fas ativ tracom
A71;tracoma especificado;tracom especific
A74;conjuntivite causada clamidias;conjuntivit caus clamid
A74;outras doencas causadas clamidias;outr doenc caus clamid
A74;infeccao causada clamidias especificada;infecca caus clamid especific
A75;tifo epidemico transmitido piolhos devido rickettsia prowazekii;tif epidem transmit piolh dev ricketts prowazeki
A75;tifo recrudescente [ doenca brill ];tif recrudescent [ doenc brill ]
A75;tifo rickettsia typhi;tif ricketts typhi
A75;tifo rickettsia tsutsugamuchi;tif ricketts tsutsugamuch
A75;tifo especificado;tif especific
A77;febre maculosa rickettsia richettsii;febr macul ricketts richettsi
A77;febre maculosa rickettsia conorii;febr macul ricketts conori
A77;febre maculosa devida rickettsia siberica;febr macul dev ricketts siber
A77;febre maculosa devida rickettsia australis;febr macul dev ricketts austral
A77;outras febres maculosas;outr febr macul
A77;febre maculosa especificada;febr macul especific
A78;febre;febr
A79;febre trincheiras;febr trincheir
A79;rickettsiose variceliforme devida rickettsia akari;rickettsios variceliform dev ricketts akar
A79;outros tipos rickettsioses especificadas;outr tip rickettsios especific
A79;rickettsiose especificada;rickettsios especific
A80;poliomielite paralitica aguda , associada virus vacinal;poliomielit paralit agud , assoc virus vacinal
A80;poliomielite paralitica aguda , virus selvagem importado;poliomielit paralit agud , virus selvag import
A80;poliomielite paralitica aguda , virus selvagem indigena;poliomielit paralit agud , virus selvag indigen
A80;poliomielites paraliticas agudas , outras especificadas;poliomielit paralit agud , outr especific
A80;poliomielite aguda - paralitica;poliomielit agud - paralit
A80;poliomielite aguda especificada;poliomielit agud especific
A81;doenca creutzfeldt - jakob;doenc creutzfeldt - jakob
A81;panencefalite esclerosante subaguda;panencefalit escleros subagud
A81;leucoencefalopatia multifocal progressiva;leucoencefalopat multifocal progress
A81;outras infeccoes virus atipicos sistema nervoso central;outr infecco virus atip sistem nervos central
A81;infeccao especificada sistema nervosos central virus atipicos;infecca especific sistem nervos central virus atip
A82;raiva silvestre;raiv silvestr
A82;raiva urbana;raiv urban
A82;raiva especificada;raiv especific
A83;encefalite japonesa;encefalit japones
A83;encefalite equina ocidental;encefalit equin ocidental
A83;encefalite equina oriental;encefalit equin oriental
A83;encefalite . louis;encefalit . lou
A83;encefalite australiana;encefalit australian
A83;encefalite california;encefalit californ
A83;doenca virus rocio;doenc virus roci
A83;outras encefalites virus transmitidas mosquitos;outr encefalit virus transmit mosquit
A83;encefalite especificada virus transmitida mosquitos;encefalit especific virus transmit mosquit
A84;encefalite taiga [ encefalite vernoestival russa ];encefalit taig [ encefalit vernoestival russ ]
A84;encefalite europa central transmitida carrapatos;encefalit europ central transmit carrapat
A84;outras encefalites virus transmitidas carrapatos;outr encefalit virus transmit carrapat
A84;encefalite especificada virus transmitida carrapatos;encefalit especific virus transmit carrapat
A85;encefalite enterovirus;encefalit enterovirus
A85;encefalite adenovirus;encefalit adenovirus
A85;encefalite virus transmitido artropodes , especificada;encefalit virus transmit artropod , especific
A85;outras encefalites virais especificadas;outr encefalit vir especific
A86;encefalite viral , especificada;encefalit viral , especific
A87;meningite enterovirus;meningit enterovirus
A87;meningite adenovirus;meningit adenovirus
A87;coriomeningite linfocitaria;coriomeningit linfocitar
A87;outras meningites virais;outr meningit vir
A87;meningite viral especificada;meningit viral especific
A88;febre exantematica enterovirus [ exantema boston ];febr exantemat enterovirus [ exantem boston ]
A88;vertigem epidemica;vertig epidem
A88;outras infeccoes virais especificadas sistema nervoso central;outr infecco vir especific sistem nervos central
A89;infeccoes virais especificadas sistema nervoso central;infecco vir especific sistem nervos central
A90;dengue [ dengue classico ];deng [ deng classic ]
A91;febre hemorragica devida virus dengue;febr hemorrag dev virus deng
A92;febre chikungunya;febr chikunguny
A92;febre ' nyong - nyong;febr ' nyong - nyong
A92;febre equina venezuelana;febr equin venezuelan
A92;infeccao virus west nile;infecca virus west nil
A92;febre vale rift;febr val rift
A92;outras febres virais especificadas transmitidas mosquitos;outr febr vir especific transmit mosquit
A92;febre viral transmitida mosquitos , especificada;febr viral transmit mosquit , especific
A93;febre oropouche;febr oropouch
A93;febre flebotomos;febr flebotom
A93;febre colorado transmitida carrapatos;febr color transmit carrapat
A93;outras febres virais especificadas transmitidas artropodes;outr febr vir especific transmit artropod
A94;febre viral transmitida artropodes , especificada;febr viral transmit artropod , especific
A95;febre amarela silvestre;febr amarel silvestr
A95;febre amarela urbana;febr amarel urban
A95;febre amarela especificada;febr amarel especific
A96;febre hemorragica junin;febr hemorrag junin
A96;febre hemorragica machupo;febr hemorrag machup
A96;febre lassa;febr lass
A96;outras febres hemorragicas arenavirus;outr febr hemorrag arenavirus
A96;febre hemorragica arenavirus , especificada;febr hemorrag arenavirus , especific
A98;febre hemorragica crimeia ( congo );febr hemorrag crim ( cong )
A98;febre hemorragica omsk;febr hemorrag omsk
A98;doenca floresta kyasanur;doenc florest kyasanur
A98;doenca marburg;doenc marburg
A98;doenca virus ebola;doenc virus ebol
A98;febre hemorragica sindrome renal;febr hemorrag sindrom renal
A98;outras febres hemorragicas especificadas virus;outr febr hemorrag especific virus
A99;febres hemorragicas virais especificadas;febr hemorrag vir especific
B00;eczema herpetico;eczem herpet
B00;dermatite vesicular devido virus herpes;dermatit vesicul dev virus herp
B00;gengivoestomatite faringoamigdalite devida virus herpes;gengivoestomatit faringoamigdalit dev virus herp
B00;meningite devida virus herpes;meningit dev virus herp
B00;encefalite devida virus herpes;encefalit dev virus herp
B00;afeccoes oculares devidas virus herpes;afecco ocul dev virus herp
B00;doenca disseminada devida virus herpes;doenc dissemin dev virus herp
B00;outras formas infeccao devida virus herpes;outr form infecca dev virus herp
B00;infeccao especificada devida virus herpes;infecca especific dev virus herp
B01;meningite varicela;meningit varicel
B01;encefalite varicela;encefalit varicel
B01;pneumopatia varicelosa;pneumopat varicel
B01;varicela outras complicacoes;varicel outr complic
B01;varicela complicacao;varicel complic
B02;encefalite virus herpes zoster;encefalit virus herp zost
B02;meningite virus herpes zoster;meningit virus herp zost
B02;herpes zoster acompanhado outras manifestacoes neurologicas;herp zost acompanh outr manifest neurolog
B02;herpes zoster oftalmico;herp zost oftalm
B02;herpes zoster disseminado;herp zost dissemin
B02;herpes zoster outras complicacoes;herp zost outr complic
B02;herpes zoster complicacao;herp zost complic
B03;variola;variol
B04;variola macacos [ monkeypox ];variol macac [ monkeypox ]
B05;sarampo complicado encefalite;saramp complic encefalit
B05;sarampo complicado meningite;saramp complic meningit
B05;sarampo complicado pneumonia;saramp complic pneumon
B05;sarampo complicado otite media;saramp complic otit med
B05;sarampo complicacoes intestinais;saramp complic intestin
B05;sarampo outras complicacoes;saramp outr complic
B05;sarampo complicacao;saramp complic
B06;rubeola complicacoes neurologicas;rubeol complic neurolog
B06;rubeola outras complicacoes;rubeol outr complic
B06;rubeola complicacao;rubeol complic
B07;verrugas origem viral;verrug orig viral
B08;outras infeccoes ortopoxvirus;outr infecco ortopoxvirus
B08;molusco contagioso;molusc contagi
B08;exantema subito [ sexta doenca ];exantem subit [ sext doenc ]
B08;eritema infeccioso [ quinta doenca ];eritem infecc [ quint doenc ]
B08;estomatite vesicular devida enterovirus exantema;estomatit vesicul dev enterovirus exantem
B08;faringite vesicular devida enterovirus;faringit vesicul dev enterovirus
B08;outras infeccoes virais especificadas caracterizadas lesoes pele membranas mucosas;outr infecco vir especific caracteriz leso pel membran mucos
B09;infeccao viral especificada caracterizada lesoes pele membranas mucosas;infecca viral especific caracteriz leso pel membran mucos
B15;hepatite coma hepatico;hepatit com hepat
B15;hepatite coma hepatico;hepatit com hepat
B16;hepatite aguda agente delta ( - infeccao ) , coma hepatico;hepatit agud agent delt ( - infecca ) , com hepat
B16;hepatite aguda agente delta , ( - infeccao ) , coma hepatico;hepatit agud agent delt , ( - infecca ) , com hepat
B16;hepatite aguda agente delta , coma hepatico;hepatit agud agent delt , com hepat
B16;hepatite aguda agente delta coma hepatico;hepatit agud agent delt com hepat
B17;( super ) infeccao delta aguda portador hepatite;( sup ) infecca delt agud portador hepatit
B17;hepatite aguda;hepatit agud
B17;hepatite aguda;hepatit agud
B17;outras hepatites virais agudas especificadas;outr hepatit vir agud especific
B18;hepatite viral cronica agente delta;hepatit viral cronic agent delt
B18;hepatite cronica viral agente delta;hepatit cronic viral agent delt
B18;hepatite viral cronica;hepatit viral cronic
B18;outras hepatites cronicas virais;outr hepatit cronic vir
B18;hepatite viral cronica especificada;hepatit viral cronic especific
B19;hepatite viral , especificada , coma;hepatit viral , especific , com
B19;hepatite viral , especificada , coma;hepatit viral , especific , com
B20;doenca hiv resultando infeccoes micobacterianas;doenc hiv result infecco micobacterian
B20;doenca hiv resultando outras infeccoes bacterianas;doenc hiv result outr infecco bacterian
B20;doenca hiv resultando doenca citomegalica;doenc hiv result doenc citomegal
B20;doenca hiv resultando outras infeccoes virais;doenc hiv result outr infecco vir
B20;doenca hiv resultando candidiase;doenc hiv result candidias
B20;doenca hiv resultando outras micoses;doenc hiv result outr micos
B20;doenca hiv resultando pneumonia pneumocystis jirovecii;doenc hiv result pneumon pneumocyst jiroveci
B20;doenca hiv resultando infeccoes multiplas;doenc hiv result infecco multipl
B20;doenca hiv resultando outras doencas infecciosas parasitarias;doenc hiv result outr doenc infecc parasitar
B20;doenca hiv resultando doenca infecciosa parasitaria especificada;doenc hiv result doenc infecc parasitar especific
B21;doenca hiv resultando sarcoma kaposi;doenc hiv result sarcom kapos
B21;doenca hiv resultando linfoma burkitt;doenc hiv result linfom burkitt
B21;doenca hiv resultando outros tipos linfoma - hodgkin;doenc hiv result outr tip linfom - hodgkin
B21;doenca hiv resultando outras neoplasias malignas tecidos linfatico , hematopoetico correlatos;doenc hiv result outr neoplas malign tec linfat , hematopoet correlat
B21;doenca hiv resultando multiplas neoplasias malignas;doenc hiv result multipl neoplas malign
B21;doenca hiv resultando outras neoplasias malignas;doenc hiv result outr neoplas malign
B21;doenca hiv resultando neoplasia maligna especificada;doenc hiv result neoplas malign especific
B22;doenca hiv resultando encefalopatia;doenc hiv result encefalopat
B22;doenca hiv resultando pneumonite intersticial linfatica;doenc hiv result pneumonit intersticial linfat
B22;doenca hiv resultando sindrome emaciacao;doenc hiv result sindrom emac
